docket_id,case_name,docket_number,pacer_case_id,slug,absolute_url,court_id,cause,nature_of_suit,jurisdiction_type,date_filed,date_terminated,date_last_filing,assigned_to_str,referred_to_str,jury_demand,idb_disposition,idb_judgment,idb_procedural_progress,idb_nature_of_suit,idb_monetary_demand,idb_pro_se,idb_class_action,idb_origin,idb_jury_demand,has_opinions,scrape_status,scraped_at
39987,"Church v. Gruntal & Co., Inc.",88 Civ. 516 (TPG),,church-v-gruntal-co-inc,/docket/39987/church-v-gruntal-co-inc/,nysd,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 21:08:08
40956,In Re Enron Corp. Securities,MDL-1446. Civ.A. No. H-01-3624,,in-re-enron-corp-securities,/docket/40956/in-re-enron-corp-securities/,txsd,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 21:08:17
41626,Shotto v. Laub,Civ. A. M-85-4181,,shotto-v-laub,/docket/41626/shotto-v-laub/,mdd,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 21:08:26
41669,SEC v. Adoni,CIV.A.97-350 (JAG),,sec-v-adoni,/docket/41669/sec-v-adoni/,njd,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 21:08:35
41725,Hill v. BellSouth Corp.,CIV.A. 1:02-CV-2440-JOF,,hill-v-bellsouth-corp,/docket/41725/hill-v-bellsouth-corp/,gand,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 21:08:44
42210,United States v. Campbell,4:04-cr-00046,5983,united-states-v-campbell,/docket/42210/united-states-v-campbell/,oknd,,,,2004-03-30,2004-08-18,2018-04-19,,,,,,,,,,,,,1,done,2026-04-09 21:09:53
42244,OCM Principal Opportunities Fund v. CIBC World Markets Corp.,B172588,,ocm-principal-opportunities-fund-v-cibc-world-markets-corp,/docket/42244/ocm-principal-opportunities-fund-v-cibc-world-markets-corp/,calctapp,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 21:10:04
42943,Kapps v. Torch Offshore Inc,03-30227,,kapps-v-torch-offshore-inc,/docket/42943/kapps-v-torch-offshore-inc/,ca5,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 21:10:14
43116,Rubin v. Posner,Civ. A. 87-378-JJF,,rubin-v-posner,/docket/43116/rubin-v-posner/,ded,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 21:10:23
45952,"Piper v. Chris-Craft Industries, Inc.",75-353,,piper-v-chris-craft-industries-inc,/docket/45952/piper-v-chris-craft-industries-inc/,scotus,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 21:10:39
46331,"TC Ambulance Group, Inc.",16-10410,264396,tc-ambulance-group-inc,/docket/46331/tc-ambulance-group-inc/,nysb,,,,2016-02-24,,2026-03-13,David S Jones,,,,,,,,,,,,1,done,2026-04-09 21:10:54
47867,,99-15361,,in-re-mego-financial-corporation-securities-litigation-christopher-dunleavy,/docket/47867/in-re-mego-financial-corporation-securities-litigation-christopher-dunleavy/,ca9,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 21:11:03
48095,Barrie v. Intervoice-Brite Inc,03-11064,,barrie-v-intervoice-brite-inc,/docket/48095/barrie-v-intervoice-brite-inc/,ca5,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 21:11:12
48904,"Thomas E. Walton Le'ellen Walton v. Rose Mobile Homes Llc, Southern Energy Homes, Inc.",00-60742,,thomas-e-walton-leellen-walton-v-rose-mobile-homes-llc-southern-energy,/docket/48904/thomas-e-walton-leellen-walton-v-rose-mobile-homes-llc-southern-energy/,ca5,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 21:11:24
49034,Harsco Corporation v. Rene Segui,1073,,harsco-corporation-v-rene-segui,/docket/49034/harsco-corporation-v-rene-segui/,ca2,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 21:11:33
49477,Hannah Finkel v. Docutel/olivetti Corporation,86-1680,,hannah-finkel-v-docutelolivetti-corporation,/docket/49477/hannah-finkel-v-docutelolivetti-corporation/,ca5,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 21:11:43
49662,Will v. Calvert Fire Ins. Co.,77-693,,will-v-calvert-fire-ins-co,/docket/49662/will-v-calvert-fire-ins-co/,scotus,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 21:11:58
49664,Medema v. Medema Builders,87-3082,,medema-v-medema-builders,/docket/49664/medema-v-medema-builders/,ca7,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 21:12:07
50390,John Saad v. SEC,19-1214,,john-saad-v-sec,/docket/50390/john-saad-v-sec/,cadc,,,,2019-10-17,,,,,,,,,,,,,,,1,done,2026-04-09 21:12:16
52864,United States v. Marek,"98-40568, 98-40955",,united-states-v-marek,/docket/52864/united-states-v-marek/,ca5,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 21:12:28
53819,In Re Equity Funding Corp. of America Securities Litigation,M.D.L.-142-MML,,in-re-equity-funding-corp-of-america-securities-litigation,/docket/53819/in-re-equity-funding-corp-of-america-securities-litigation/,cacd,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 21:12:37
53935,SEC v. Kimmes,89 C 5942,,sec-v-kimmes,/docket/53935/sec-v-kimmes/,ilnd,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 21:12:46
54674,Streber v. Hunter,99-50054,,streber-v-hunter,/docket/54674/streber-v-hunter/,ca5,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 21:12:58
55062,"Kenneth P. Wolf v. Gruntal & Co., Inc.",94-1658,,kenneth-p-wolf-v-gruntal-co-inc,/docket/55062/kenneth-p-wolf-v-gruntal-co-inc/,ca1,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 21:13:07
56503,Robinson v. TCI/US West Communications Inc.,96-50554,,robinson-v-tcius-west-communications-inc,/docket/56503/robinson-v-tcius-west-communications-inc/,ca5,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 21:13:16
58260,"Robert Gregory, on Behalf of Himself and All Others Similarly Situated v. The Home Insurance Company",88-2172,,robert-gregory-on-behalf-of-himself-and-all-others-similarly-situated-v,/docket/58260/robert-gregory-on-behalf-of-himself-and-all-others-similarly-situated-v/,ca7,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 21:13:26
58592,SECURITIES & EXCH. COM'N v. Diversified Indus.,Civ. A. No. 76-2114,,securities-exch-comn-v-diversified-indus,/docket/58592/securities-exch-comn-v-diversified-indus/,dcd,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 21:13:34
58816,CITY OF DEARBORN HEIGHTS ACT 345 v. Waters Corp.,Civil Action 1:08-11889-JLT,,city-of-dearborn-heights-act-345-v-waters-corp,/docket/58816/city-of-dearborn-heights-act-345-v-waters-corp/,mad,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 21:13:43
59111,"Arthur Barnes v. Meyer Osofsky, Alfred N. Greenberg v. Aileen, Inc., Reginald Smith v. Aileen, Inc.",30867-30869_1,,arthur-barnes-v-meyer-osofsky-alfred-n-greenberg-v-aileen-inc,/docket/59111/arthur-barnes-v-meyer-osofsky-alfred-n-greenberg-v-aileen-inc/,ca2,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 21:13:52
59568,Ruckle v. Roto American Corporation,29320_1,,ruckle-v-roto-american-corporation,/docket/59568/ruckle-v-roto-american-corporation/,ca2,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 21:14:01
61268,"Kapps v. Torch Offshore, Inc.",03-30227,,kapps-v-torch-offshore-inc,/docket/61268/kapps-v-torch-offshore-inc/,ca5,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 21:14:10
61496,"Litton Industries, Inc. v. Lehman Brothers Kuhn Loeb Inc.",589,,litton-industries-inc-v-lehman-brothers-kuhn-loeb-inc,/docket/61496/litton-industries-inc-v-lehman-brothers-kuhn-loeb-inc/,ca2,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 21:14:19
62192,Baron v. Smith,03-2440,,baron-v-smith,/docket/62192/baron-v-smith/,ca1,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 21:14:28
62883,"United States v. Grant C. Affleck, United States of America v. Frank Kowalik, Jr.","85-1009, 84-2600",,united-states-v-grant-c-affleck-united-states-of-america-v-frank,/docket/62883/united-states-v-grant-c-affleck-united-states-of-america-v-frank/,ca10,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 21:14:41
65769,"Securities and Exchange Commission v. Lincoln Thrift Assoc., Continental Service Corp., Receiver-Appellee v. Charles Schonfeld and Helga Schonfeld",76-1886,,securities-and-exchange-commission-v-lincoln-thrift-assoc-continental,/docket/65769/securities-and-exchange-commission-v-lincoln-thrift-assoc-continental/,ca9,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 21:14:50
67528,SEC v. Levy,Civ. A. 88-0131 (RCL),,sec-v-levy,/docket/67528/sec-v-levy/,dcd,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 21:14:59
67537,In Re: Prudential,97-5155,26718,in-re-prudential,/docket/67537/in-re-prudential/,ca3,,4370 Other Fraud,,1997-03-31,1998-07-23,1999-04-07,,,,,,,,,,,,,1,done,2026-04-09 21:15:16
69203,Friedman v. Arizona World Nurseries Ltd.,"86 Civ. 9834(KC), 88 Civ. 2212(KC), 88 Civ. 6306(KC), 88 Civ. 8795(KC) and 89 Civ. 5194(KC)",,friedman-v-arizona-world-nurseries-ltd,/docket/69203/friedman-v-arizona-world-nurseries-ltd/,nysd,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 21:15:25
70880,"Howard P. Magaliff, Chapter 7 Trustee of Allways E v. Freedom Financial Consulting, Inc.",18-08311,288901,howard-p-magaliff-chapter-7-trustee-of-allways-e-v-freedom-financial,/docket/70880/howard-p-magaliff-chapter-7-trustee-of-allways-e-v-freedom-financial/,nysb,,12 Recovery of money/property - 547 preference; 13 Recovery of money/property - 548 fraudulent transfer; 14 Recovery of money/property - other,,2018-12-09,2020-08-04,2020-08-04,Robert D. Drain,,,,,,,,,,,,1,done,2026-04-09 21:15:34
71267,"Fed. Sec. L. Rep. P 98,943 Merrill Lynch, Pierce, Fenner & Smith, Inc. And Sam Alberico v. Stanley F. Jaros",94-3876,,fed-sec-l-rep-p-98943-merrill-lynch-pierce-fenner-smith-inc-and,/docket/71267/fed-sec-l-rep-p-98943-merrill-lynch-pierce-fenner-smith-inc-and/,ca6,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 21:15:43
73314,Khulumani v. Barclay Nat. Bank Ltd.,"Docket 05-2141-cv, 05-2326-cv",,khulumani-v-barclay-nat-bank-ltd,/docket/73314/khulumani-v-barclay-nat-bank-ltd/,ca2,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 21:15:59
73396,"Fed. Sec. L. Rep. P 97,607 Louis E. Wolfson v. John D. Baker, Jr.",78-2072,,fed-sec-l-rep-p-97607-louis-e-wolfson-v-john-d-baker-jr,/docket/73396/fed-sec-l-rep-p-97607-louis-e-wolfson-v-john-d-baker-jr/,ca5,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 21:16:07
73637,United States v. ASHTON,1:07-mj-00402,126889,united-states-v-ashton,/docket/73637/united-states-v-ashton/,dcd,,,,2007-08-10,2007-09-14,2007-09-14,,,,,,,,,,,,,1,done,2026-04-09 21:16:16
74057,In Re Nat. Mortg. Equity Corp. Mortg. Pool Cert. Securities Litigation,MDL 647 AWT,,in-re-nat-mortg-equity-corp-mortg-pool-cert-securities-litigation,/docket/74057/in-re-nat-mortg-equity-corp-mortg-pool-cert-securities-litigation/,cacd,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 21:16:25
74455,"SEC v. Alfred Teo, Sr.",12-1168,,sec-v-alfred-teo-sr,/docket/74455/sec-v-alfred-teo-sr/,ca3,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 21:16:37
74474,SEC v. Bilzerian,Civ. A. 89-1854 SSH,,sec-v-bilzerian,/docket/74474/sec-v-bilzerian/,dcd,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 21:16:46
74798,Clay v. Riverwood International,97-8592,,clay-v-riverwood-international,/docket/74798/clay-v-riverwood-international/,ca11,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 21:16:58
74801,Clay v. Riverwood International,97-8592,,clay-v-riverwood-international,/docket/74801/clay-v-riverwood-international/,ca11,,,,,,,,,,,,,,,,,,,1,done,2026-04-09 21:17:07
